Column1,Column2,Column3
"Saint Helena, Ascension and Tristan da Cunha",SHN,"Saint Helena, Ascension and Tristan da Cunha"
Svalbard and Jan Mayen,SJM,Svalbard and Jan Mayen
Solomon Islands,SLB,Solomon Islands
Sierra Leone,SLE,Sierra Leone
El Salvador,SLV,El Salvador
San Marino,SMR,San Marino
Somalia,SOM,Somalia
Saint Pierre and Miquelon,SPM,Saint Pierre and Miquelon
Serbia,SRB,Serbia
South Sudan,SSD,South Sudan
Sao Tome and Principe,STP,Sao Tome and Principe
Suriname,SUR,Suriname
Slovakia,SVK,Slovakia
Slovenia,SVN,Slovenia
Sweden,SWE,Sweden
Eswatini,SWZ,Eswatini
Sint Maarten (Dutch part),SXM,Sint Maarten
Seychelles,SYC,Seychelles
Syrian Arab Republic,SYR,Syria
Turks and Caicos Islands (the),TCA,Turks and Caicos Islands
Chad,TCD,Chad
Togo,TGO,Togo
Thailand,THA,Thailand
Tajikistan,TJK,Tajikistan
Tokelau,TKL,Tokelau
Turkmenistan,TKM,Turkmenistan
Timor-Leste,TLS,Timor-Leste
Tonga,TON,Tonga
Trinidad and Tobago,TTO,Trinidad and Tobago
Tunisia,TUN,Tunisia
Turkey,TUR,Turkey
Tuvalu,TUV,Tuvalu
Taiwan (Province of China),TWN,Taiwan
"Tanzania, United Republic of",TZA,Tanzania
Uganda,UGA,Uganda
Ukraine,UKR,Ukraine
United States Minor Outlying Islands (the),UMI,United States Minor Outlying Islands
Uruguay,URY,Uruguay
United States of America (the),USA,United States of America
Uzbekistan,UZB,Uzbekistan
Holy See (the),VAT,Holy See
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines
Venezuela (Bolivarian Republic of),VEN,Venezuela
Virgin Islands (British),VGB,Virgin Islands (British)
Virgin Islands (U.S.),VIR,Virgin Islands (U.S.)
Viet Nam,VNM,Vietnam
Vanuatu,VUT,Vanuatu
Wallis and Futuna,WLF,Wallis and Futuna
Samoa,WSM,Samoa
Yemen,YEM,Yemen
South Africa,ZAF,South Africa
Zambia,ZMB,Zambia
Zimbabwe,ZWE,Zimbabwe
Kosovo,XKX,Kosovo
